"country"	"country_code"	"age"	"2020"	"2025"	"2030"	"2035"	"2040"	"2045"	"2050"	"2055"	"2060"	"2065"	"2070"	"2075"	"2080"	"2085"	"2090"	"2095"	"2100"
"Eritrea"	232	"95-99"	0.04	0.064	0.115	0.214	0.401	0.744	1.108	1.808	2.799	4.412	7.457	14.245	23.597	31.469	34.091	41.205	60.153
"Eritrea"	232	"100+"	0.003	0.007	0.013	0.025	0.05	0.102	0.208	0.337	0.592	1.009	1.649	2.996	5.835	10.318	14.786	17.068	20.805
"Ethiopia"	231	"0-4"	7861.974	8241.963	8456.636	8626.684	8625.156	8683.563	8683.243	8510.325	8327.214	8278.914	8004.043	7708.26	7443.761	7329.46	7080.94	6881.156	6643.723
"Ethiopia"	231	"5-9"	7255.943	7754.03	8174.141	8415.642	8554.205	8574.002	8639.149	8658.064	8461.022	8318.11	8221.849	8008.575	7668.918	7367.065	7302.687	7060.091	6843.608
"Ethiopia"	231	"10-14"	6815.801	7196.824	7734.172	8148.691	8393.131	8506.705	8550.649	8595.349	8652.98	8490.984	8267.27	8112.173	7937.742	7655.678	7460.833	7279.93	6993.95
"Ethiopia"	231	"15-19"	6491.716	6756.458	7169.981	7659.254	8155.142	8340.01	8521.874	8575.472	8554.413	8624.496	8437.04	8178.428	8158.82	7925.639	7708.16	7467.21	7235.717
"Ethiopia"	231	"20-24"	5869.045	6411.821	6736.53	7131.767	7649.082	8070.881	8317.727	8417.208	8491.293	8537.793	8526.415	8304.553	8061.692	7938.324	7797.066	7631.32	7389.131
"Ethiopia"	231	"25-29"	4823.832	5771.685	6365.419	6688.189	7108.994	7571.731	7968.625	8172.375	8379.127	8380.81	8441.879	8433.735	8221.706	7954.274	8002.219	7703.881	7543.182
"Ethiopia"	231	"30-34"	3764.611	4724.523	5719.736	6329.701	6653.399	7012.902	7498.81	7855.764	8070.407	8300.642	8322.388	8303.448	8278.098	8052.827	7982.322	7858.786	7693.017
"Ethiopia"	231	"35-39"	3130.055	3678.312	4674.135	5644.451	6291.268	6593.483	6938.783	7411.285	7705.083	8023.603	8184.114	8171.191	8200.389	8213.84	7985.475	7956.365	7744.169
"Ethiopia"	231	"40-44"	2440.699	3044	3620.378	4592.73	5605.457	6237.436	6488.355	6871.247	7341.97	7699.47	7938.967	8075.114	8077.896	8128.857	8150.391	7976.274	7842.743
"Ethiopia"	231	"45-49"	2046.172	2364.391	2986.394	3550.783	4541.864	5533.863	6144.355	6407.342	6816.417	7268.176	7650.546	7872.607	8043.125	7990.264	8046.031	7990.627	7922.229
"Ethiopia"	231	"50-54"	1544.465	1969.76	2302.667	2914.586	3489.231	4482.27	5448.408	6042.001	6334.27	6713.106	7186.469	7545.387	7838.587	7985.084	7902.933	7952.197	7947.243
"Ethiopia"	231	"55-59"	1164.185	1471.763	1899.504	2228.891	2846.9	3417.558	4384.191	5353.347	5958.335	6252.242	6638.738	7093.325	7459.756	7756.74	7921.433	7819.189	7845.445
