"country"	"country_code"	"age"	"2020"	"2025"	"2030"	"2035"	"2040"	"2045"	"2050"	"2055"	"2060"	"2065"	"2070"	"2075"	"2080"	"2085"	"2090"	"2095"	"2100"
"Djibouti"	262	"80-84"	2.179	2.698	3.391	3.763	4.838	6.163	7.315	8.673	10.957	11.8	15.782	16.695	16.741	18.04	19.812	21.442	21.777
"Djibouti"	262	"85-89"	0.854	1.065	1.349	1.717	1.938	2.519	3.271	3.933	4.757	6.094	6.705	9.019	9.606	9.822	10.721	11.812	13.196
"Djibouti"	262	"90-94"	0.222	0.287	0.366	0.473	0.615	0.705	0.941	1.25	1.526	1.87	2.451	2.715	3.73	4.109	4.186	4.71	5.21
"Djibouti"	262	"95-99"	0.034	0.045	0.06	0.078	0.103	0.137	0.161	0.221	0.299	0.373	0.467	0.619	0.713	0.99	1.094	1.163	1.338
"Djibouti"	262	"100+"	0.003	0.004	0.005	0.007	0.009	0.012	0.017	0.02	0.028	0.039	0.05	0.064	0.087	0.102	0.145	0.161	0.172
"Eritrea"	232	"0-4"	412.499	420.745	439.386	466.247	498.578	503.221	500.713	499.902	504.741	506.39	503.813	501.158	501.136	477.222	458.199	451.155	433.437
"Eritrea"	232	"5-9"	393.704	408.68	417.692	436.74	464.093	495.492	500.816	499.047	497.759	502.68	504.664	499.15	499.489	501.754	475.367	457.85	447.882
"Eritrea"	232	"10-14"	373.442	391.937	407.712	417.22	435.839	464.323	493.454	497.924	497.947	497.155	500.422	504.922	498.901	499.679	499.751	472.399	457.408
"Eritrea"	232	"15-19"	315.013	369.296	388.585	405.572	411.66	431.207	462.619	486.492	492.957	493.741	494.669	497.506	494.345	490.901	499.261	494.468	465.562
"Eritrea"	232	"20-24"	248.964	308.038	362.574	383.846	395.821	402.101	425.269	450.31	472.604	484.835	484.866	481.765	485.424	480.276	486.751	487.411	477.186
"Eritrea"	232	"25-29"	226.928	241.595	301.506	357.346	372.893	387.388	394.142	416.553	440.091	457.62	476.532	475.661	468.362	464.608	470.717	471.221	469.093
"Eritrea"	232	"30-34"	227.047	219.898	236.871	297.155	348.389	366.696	377.031	382.372	403.653	430.133	450.071	463.919	467.162	454.756	462.915	460.55	457.04
"Eritrea"	232	"35-39"	197.475	220.695	215.299	233.034	289.71	343.726	360.001	369.769	376.528	398.72	422.821	447.69	457.839	452.944	446.949	452.045	448.007
"Eritrea"	232	"40-44"	144.693	191.803	216.159	212.222	227.646	285.068	338.666	352.904	364.329	371.845	392.393	419.142	441.126	450.116	450.823	435.165	441.58
"Eritrea"	232	"45-49"	99.484	139.823	187.545	212.653	207.429	222.887	278.793	330.449	348.337	361.447	369.175	389.151	413.281	438	446.277	444.152	430.869
"Eritrea"	232	"50-54"	75.005	95.261	135.683	182.738	207.462	204.018	218.897	272.404	324.571	341.621	353.683	362.016	383.42	404.786	433.883	435.389	441.049
"Eritrea"	232	"55-59"	60.687	70.864	91.328	130.885	177.614	201.776	199.081	213.46	267.704	317.97	335.763	345.18	356.063	375.992	397.849	427.692	434.492
"Eritrea"	232	"60-64"	49.797	56.032	66.591	86.539	125.165	169.493	194.243	192.039	205.978	259.768	310.46	328.201	338.823	346.356	369.982	392.646	417.344
"Eritrea"	232	"65-69"	38.005	44.32	50.842	61.346	80.377	117.017	160.681	184.766	183.035	198.265	251.531	300.353	316.968	326.423	334.782	357.931	381.049
"Eritrea"	232	"70-74"	29.762	31.938	38.204	44.786	54.594	72.627	107.589	148.81	171.923	171.405	186.605	238.257	284.503	302.571	311.399	318.348	342.232
"Eritrea"	232	"75-79"	17.199	22.906	25.431	31.343	37.627	46.833	63.526	95.287	134.378	156.315	155.431	170.938	220.095	265.013	282.123	293.842	300.785
"Eritrea"	232	"80-84"	8.352	11.516	16.092	18.659	23.749	29.34	37.74	52.509	80.786	115.163	137.001	136.902	150.744	194.499	240.215	256.056	268.804
"Eritrea"	232	"85-89"	3.203	4.645	6.797	10.017	12.202	16.238	20.852	27.602	39.305	61.688	90.729	111.157	111.97	122.296	164.808	202.746	224.304
"Eritrea"	232	"90-94"	0.889	1.37	2.141	3.371	5.272	6.853	9.517	12.589	17.244	25.644	41.476	62.209	77.906	83.011	93.413	124.451	159.751
"Eritrea"	232	"95-99"	0.179	0.272	0.456	0.775	1.31	2.187	2.995	4.315	6.109	8.874	13.583	22.909	35.167	45.037	48.801	57.967	80.104
"Eritrea"	232	"100+"	0.019	0.037	0.061	0.112	0.207	0.373	0.67	0.944	1.478	2.199	3.282	5.302	9.019	14.782	19.666	21.975	27.112
"Ethiopia"	231	"0-4"	7636.758	8008.473	8170.123	8362.402	8361.082	8364.034	8345.137	8156.247	7999.908	7832.974	7692.146	7504.311	7213.308	6976.111	6761.269	6573.921	6393.753
"Ethiopia"	231	"5-9"	7085.647	7561.143	7958.585	8109.571	8349.995	8319.117	8338.754	8332.768	8106.035	8025.282	7817.332	7699.569	7504.5	7190.377	6939.37	6757.152	6570.406
"Ethiopia"	231	"10-14"	6673.81	7042.437	7526.312	7926.246	8094.396	8313.606	8315.018	8352.713	8278.646	8115.263	8003.019	7812.961	7684.219	7481.086	7199.814	6927.669	6764.786
"Ethiopia"	231	"15-19"	6373.182	6630.47	7020.592	7503.777	7894.494	8070.276	8291.795	8294.289	8304.91	8287.4	8102.055	7941.086	7825.033	7648.322	7372.283	7203.745	6931.442
"Ethiopia"	231	"20-24"	5762.147	6311.834	6605.416	6965.854	7478.282	7819.655	8051.26	8220.19	8276.034	8221.106	8231.447	8041.067	7919.83	7761.217	7616.672	7396.386	7181.619
"Ethiopia"	231	"25-29"	4751.441	5696.447	6287.303	6548.13	6905.451	7405.288	7793.952	8014.148	8180.348	8243.857	8163.979	8220.129	8021.486	7835.569	7782.025	7565.386	7375.614
"Ethiopia"	231	"30-34"	3778.629	4690.776	5655.862	6238.19	6507.825	6903.878	7379.582	7776.495	7991.004	8121.356	8191.949	8121.806	8121.407	8008.689	7852.876	7746.561	7554.229
"Ethiopia"	231	"35-39"	3225.592	3721.899	4640.247	5601.699	6181.214	6461.008	6860.359	7346.656	7730.862	7907.851	8054.756	8133.921	8080.242	8051.351	7943.675	7860.266	7685.532
"Ethiopia"	231	"40-44"	2488.756	3165.015	3670.097	4586.306	5554.97	6134.371	6425.149	6822.804	7292.641	7691.486	7876.715	8031.002	8071.011	8038.354	8003.975	7909.33	7866.46
"Ethiopia"	231	"45-49"	2027.246	2433.231	3113.354	3621.7	4542.166	5514.588	6085.787	6387.946	6779.101	7240.211	7639.637	7843.375	7998.299	8001.637	7987.161	8018.111	7882.205
"Ethiopia"	231	"50-54"	1641.908	1974.692	2385.218	3061.394	3571.378	4496.649	5456.898	6033.768	6335.675	6726.97	7205.058	7587.673	7794.476	7967.9	7948.128	7935.651	7955.439
"Ethiopia"	231	"55-59"	1321.764	1588.104	1924.841	2335.052	3014.049	3524.599	4443.187	5406.781	5988.977	6288.789	6681.713	7156.307	7526.971	7717.826	7910.52	7929.949	7911.143
"Ethiopia"	231	"60-64"	1111.632	1261.134	1530.347	1868.063	2281.747	2957.468	3472.525	4384.186	5334.402	5918.85	6225.432	6611.008	7089.052	7449.293	7679.184	7846.526	7831.774
"Ethiopia"	231	"65-69"	837.184	1031.68	1187.415	1458.768	1797.786	2212.049	2878.793	3385.171	4286.647	5237.246	5816.526	6108.712	6509.335	7009.308	7357.604	7558.891	7744.585
"Ethiopia"	231	"70-74"	657.423	739.409	931.898	1093.485	1364.832	1705.672	2119.599	2777.312	3287.25	4178.083	5121.853	5692.313	5983.252	6358.304	6901.016	7239.031	7425.77
"Ethiopia"	231	"75-79"	409.573	533.488	621.527	806.65	973.479	1244.894	1582.555	1991.897	2638.062	3139.076	3996.855	4921.031	5493.037	5794.971	6186.659	6694.387	7042.295
"Ethiopia"	231	"80-84"	210.534	288.053	395.013	482.573	655.904	821.422	1080.706	1404.31	1799.089	2421.454	2909.487	3753.252	4624.563	5203.59	5520.58	5934.946	6419.12
"Ethiopia"	231	"85-89"	89.441	118.013	173.388	256.497	336.348	485.151	637.737	864.483	1162.854	1523.919	2087.908	2547.374	3310.566	4131.869	4679.488	5048.011	5442.143
"Ethiopia"	231	"90-94"	23.94	35.846	52.018	84.973	138.453	198.306	308.059	422.563	604.63	844.445	1136.772	1598.885	2004.209	2636.322	3371.804	3889.101	4215.642
"Ethiopia"	231	"95-99"	3.536	5.962	10.05	16.703	31.012	56.515	90.26	147.018	218.909	330.09	477.532	677.34	965.289	1264.258	1725.244	2264.285	2698.704
"Ethiopia"	231	"100+"	0.248	0.469	0.901	1.768	3.41	7.224	15.182	25.696	46.883	74.542	118.776	180.214	263.958	402.131	543.772	776.946	1067.712
"Kenya"	404	"0-4"	3728.493	3911.375	4122.942	4315.248	4507.701	4612.701	4674.069	4713.138	4745.967	4712.726	4744.538	4691.595	4582.206	4496.875	4289.75	4139.28	4031.64
"Kenya"	404	"5-9"	3468.147	3642.083	3821.528	4030.196	4225.705	4405.506	4515.273	4583.013	4633.467	4664.88	4620.836	4670.301	4609.547	4499.347	4431.976	4219.471	4064.86
